State,City,Title,Company,Posted,Location
AL,Huntsville,Data Scientist,ISSAC Corp,"June 8, 2023","Huntsville, AL"
AL,Redstone Arsenal,Data Scientist,SOS International LLC,"June 14, 2023","Redstone Arsenal, AL"
AL,Huntsville,Data Scientist,Axient,"June 10, 2023","Huntsville, AL"
AL,Huntsville,Data Scientist,"Nou Systems, Inc.","June 9, 2023","Huntsville, AL"
AL,Huntsville,Data Scientist,Guidehouse,"May 18, 2023","Huntsville, AL"
AL,Huntsville,Data Scientist and Applied Mathematician,Booz Allen Hamilton,"May 18, 2023","Huntsville, AL"
AL,Birmingham,Lead NLP Data Scientist,Humana,"June 1, 2023","Birmingham, AL"
AL,Birmingham,Lead NLP Data Scientist,Humana,"June 4, 2023","Birmingham, AL"
AL,Montgomery,"Data Scientist, Product Analytics",Meta,"June 13, 2023","Montgomery, AL"
AL,Montgomery,"Data Scientist, Product Analytics",Meta,"May 26, 2023","Montgomery, AL"
AL,Montgomery,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Montgomery, AL"
AL,Montgomery,Senior Data Scientist,Pearson,"June 3, 2023","Montgomery, AL"
AL,Montgomery,AI Senior Data Scientist,Travelers Insurance Company,"June 13, 2023","Montgomery, AL"
AL,Montgomery,AI Lead Data Scientist,Travelers Insurance Company,"June 7, 2023","Montgomery, AL"
AL,Montgomery,Director & Data Scientist,Travelers Insurance Company,"June 2, 2023","Montgomery, AL"
AL,Huntsville,"Data Scientist / Huntsville, ALAltamira Technologies Corporation",,"April 26, 2023","Huntsville, AL"
AL,Montgomery,Senior Data Scientist I (Remote)RELX INC,,"April 25, 2023","Montgomery, AL"
AL,Montgomery,AI Data Scientist/Product Owner,Travelers Insurance Company,"June 7, 2023","Montgomery, AL"
AL,Montgomery,Data Scientist (Hybrid / Remote)UMB Bank,,"June 6, 2023","Montgomery, AL"
AL,Montgomery,Cleared Data Scientist - Data Mining/Analytics/Data Visualization,Guidehouse,"May 19, 2023","Montgomery, AL"
AL,Montgomery,Data Scientist-Business Intelligence Engineer (Remote)Wolters Kluwer,,"May 19, 2023","Montgomery, AL"
AL,Montgomery,"Data Scientist, Product - Generative AIMeta",,"June 3, 2023","Montgomery, AL"
AL,Montgomery,"Data Scientist, Product Analytics - Machine Learning",Meta,"June 13, 2023","Montgomery, AL"
AL,Montgomery,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Montgomery, AL"
AL,Montgomery,"Data Scientist, Product Analytics - Monetization",Meta,"June 13, 2023","Montgomery, AL"
AL,Montgomery,"Data Scientist, Product Analytics - Reality Labs",Meta,"June 10, 2023","Montgomery, AL"
AL,Birmingham,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","Birmingham, AL"
AL,Montgomery,Data Scientist - Secret Clearance - Remote,MindPoint Group,"June 16, 2023","Montgomery, AL"
AL,Birmingham,Lead Cognitive/Machine Learning Professional - MLPHumana,,"June 4, 2023","Birmingham, AL"
AL,Birmingham,Data Engineer,Humana,"June 20, 2023","Birmingham, AL"
AL,Montgomery,"Research Scientist, Machine Learning (Ph",D)Meta,"June 17, 2023","Montgomery, AL"
AL,Montgomery,Senior Principal Applied Scientist-OCI AIOracle,,"June 14, 2023","Montgomery, AL"
AL,Montgomery,"Customer Success Director, Data & Analytics",Acxiom LLC,"May 18, 2023","Montgomery, AL"
AL,Montgomery,Principal Applied Scientist-OCI AI Services,Oracle,"June 7, 2023","Montgomery, AL"
AL,Huntsville,Data Engineer,Axient,"June 10, 2023","Huntsville, AL"
AL,Montgomery,Data Analytics Consultant,Guidehouse,"June 8, 2023","Montgomery, AL"
AL,Montgomery,"Director, Data Science - Fraud Detection",Travelers Insurance Company,"May 24, 2023","Montgomery, AL"
AL,Montgomery,Data Engineer I - Data Modeler,Travelers Insurance Company,"May 20, 2023","Montgomery, AL"
AK,Juneau,"Data Scientist, Product Analytics",Meta,"June 13, 2023","Juneau, AK"
AK,Juneau,"Data Scientist, Product Analytics",Meta,"May 26, 2023","Juneau, AK"
AK,Juneau,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Juneau, AK"
AK,Juneau,Senior Data Scientist,Pearson,"June 3, 2023","Juneau, AK"
AK,Juneau,AI Senior Data Scientist,Travelers Insurance Company,"June 13, 2023","Juneau, AK"
AK,Juneau,AI Lead Data Scientist,Travelers Insurance Company,"June 7, 2023","Juneau, AK"
AK,Juneau,Director & Data Scientist,Travelers Insurance Company,"June 2, 2023","Juneau, AK"
AK,Juneau,Senior Data Scientist I (Remote)RELX INC,,"April 25, 2023","Juneau, AK"
AK,Juneau,AI Data Scientist/Product Owner,Travelers Insurance Company,"June 7, 2023","Juneau, AK"
AK,Juneau,Data Scientist (Hybrid / Remote)UMB Bank,,"June 6, 2023","Juneau, AK"
