State,City,Title,Company,Posted,Location
AL,Montgomery,Data Scientist,Ford Motor Company,"May 13, 2023","Montgomery, AL"
AL,Huntsville,Data Scientist,Guidehouse,"May 18, 2023","Huntsville, AL"
AL,Birmingham,Data Scientist,Deloitte,"April 22, 2023","Birmingham, AL"
AL,Huntsville,Data Scientist and Applied Mathematician,Booz Allen Hamilton,"May 18, 2023","Huntsville, AL"
AL,Birmingham,Senior Data Scientist,Humana,"May 25, 2023","Birmingham, AL"
AL,Huntsville,Senior Data Scientist,Humana,"May 25, 2023","Huntsville, AL"
AL,Mobile,Senior Data Scientist,Humana,"May 25, 2023","Mobile, AL"
AL,Birmingham,Lead NLP Data Scientist,Humana,"June 1, 2023","Birmingham, AL"
AL,Montgomery,Senior Data Scientist,Pearson,"June 3, 2023","Montgomery, AL"
AL,Montgomery,"Data Scientist, Product Analytics",Meta,"May 26, 2023","Montgomery, AL"
AL,Montgomery,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Montgomery, AL"
AL,Montgomery,Cleared Data Scientist,Guidehouse,"April 6, 2023","Montgomery, AL"
AL,Huntsville,HR Data Scientist,Aerojet Rocketdyne,"April 7, 2023","Huntsville, AL"
AL,Huntsville,"Data Scientist / Huntsville, ALAltamira Technologies Corporation",,"April 26, 2023","Huntsville, AL"
AL,Montgomery,Director & Data Scientist (REMOTE)Travelers Insurance Company,,"June 2, 2023","Montgomery, AL"
AL,Montgomery,Senior Data Scientist I (Remote)RELX INC,,"April 25, 2023","Montgomery, AL"
AL,Montgomery,Cleared Data Scientist - Data Mining/Analytics/Data Visualization,Guidehouse,"May 19, 2023","Montgomery, AL"
AL,Montgomery,"Data Scientist, Product - Generative AIMeta",,"June 3, 2023","Montgomery, AL"
AL,Montgomery,Data Scientist-Business Intelligence Engineer (Remote)Wolters Kluwer,,"May 19, 2023","Montgomery, AL"
AL,Montgomery,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Montgomery, AL"
AL,Montgomery,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Montgomery, AL"
AL,Birmingham,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","Birmingham, AL"
AL,Montgomery,"Data Scientist, Product Analytics - App Foundation",Meta,"May 20, 2023","Montgomery, AL"
AL,Montgomery,Cleared Data Scientist - Data Mining/CX/Customer Analytics,Guidehouse,"April 12, 2023","Montgomery, AL"
AL,Montgomery,AVP & Data Scientist (DS Leadership)Travelers Insurance Company,,"April 11, 2023","Montgomery, AL"
AL,Montgomery,"Data Scientist, Underwriting Automation and Artificial Intelligence",Travelers Insurance Company,"April 14, 2023","Montgomery, AL"
AL,Montgomery,"Senior Data Scientist, Predictive Analytics/Artificial Intelligence – (JRD DS)J&J Family of Companies",,"May 20, 2023","Montgomery, AL"
AL,Montgomery,"Customer Success Director, Data & Analytics",Acxiom LLC,"May 18, 2023","Montgomery, AL"
AL,Birmingham,Business Intelligence Engineer,Humana,"May 31, 2023","Birmingham, AL"
